,"Assignment ID","Submit Time","WorkerId","HITId","Prolific ID","Trial order","Selection 1","Selection 2","Selection 3","Selection 4","Selection 5","Selection 6","Selection 7","Selection 8","Selection 9","Selection 10","Selection 11","Selection 12","Selection 13","Selection 14","Selection 15","Selection 16","Selection 17","Selection 18","Selection 19","Selection 20","Selection 21","Selection 22","Selection 23","Selection 24","Selection 25","Selection 26","Selection 27","Selection 28","Selection 29","Accurate 1","Accurate 2","Accurate 3","Accurate 4","Accurate 5","Accurate 6","Accurate 7","Accurate 8","Accurate 9","Accurate 10","Accurate 11","Accurate 12","Accurate 13","Accurate 14","Accurate 15","Accurate 16","Accurate 17","Accurate 18","Accurate 19","Accurate 20","Accurate 21","Accurate 22","Accurate 23","Accurate 24","Accurate 25","Accurate 26","Accurate 27","Accurate 28","Accurate 29","Rt 1","Rt 2","Rt 3","Rt 4","Rt 5","Rt 6","Rt 7","Rt 8","Rt 9","Rt 10","Rt 11","Rt 12","Rt 13","Rt 14","Rt 15","Rt 16","Rt 17","Rt 18","Rt 19","Rt 20","Rt 21","Rt 22","Rt 23","Rt 24","Rt 25","Rt 26","Rt 27","Rt 28","Rt 29","ClickedX 1","ClickedX 2","ClickedX 3","ClickedX 4","ClickedX 5","ClickedX 6","ClickedX 7","ClickedX 8","ClickedX 9","ClickedX 10","ClickedX 11","ClickedX 12","ClickedX 13","ClickedX 14","ClickedX 15","ClickedX 16","ClickedX 17","ClickedX 18","ClickedX 19","ClickedX 20","ClickedX 21","ClickedX 22","ClickedX 23","ClickedX 24","ClickedX 25","ClickedX 26","ClickedX 27","ClickedX 28","ClickedX 29","ClickedY 1","ClickedY 2","ClickedY 3","ClickedY 4","ClickedY 5","ClickedY 6","ClickedY 7","ClickedY 8","ClickedY 9","ClickedY 10","ClickedY 11","ClickedY 12","ClickedY 13","ClickedY 14","ClickedY 15","ClickedY 16","ClickedY 17","ClickedY 18","ClickedY 19","ClickedY 20","ClickedY 21","ClickedY 22","ClickedY 23","ClickedY 24","ClickedY 25","ClickedY 26","ClickedY 27","ClickedY 28","ClickedY 29"
1,S6GYH57Z93QQNT9OTFIPJ,2025-10-14T16:05:16+00:00,,,test,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29",1,1,1,2,N/A,3,N/A,1,1,2,3,2,4,4,3,1,1,3,4,2,2,1,4,3,4,2,3,2,N/A,true,true,true,true,N/A,false,N/A,true,true,true,true,true,false,false,true,true,true,true,true,false,false,true,true,true,true,true,false,true,N/A,10487,1074,791,1420,N/A,1788,N/A,1479,1607,2537,1662,1512,2098,3182,3033,1790,2057,1494,2458,4556,3825,3181,3350,2254,2066,962,4957,1866,N/A,51.45,51.45,51.45,37.91,N/A,61.09,N/A,53.18,12.09,37.55,62.45,36,87.36,83.09,59.91,13.09,11.09,64.91,84.27,37.27,37.64,8.91,83.55,60.91,83.73,34.73,58.09,37.09,N/A,79.97,79.97,79.97,76.58,N/A,74.64,N/A,78.84,74.15,73.18,68.34,71.73,76.9,69.95,73.51,73.83,76.25,72.21,69.95,76.74,80.61,68.98,71.57,75.12,68.98,69.63,74.15,70.27,N/A
2,NKX025JLF7JNQIK86BXKO,2025-10-15T03:47:23+00:00,,,test,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29",1,1,1,2,N/A,4,N/A,1,1,2,3,2,2,3,3,3,1,3,4,4,2,1,3,1,1,2,2,2,N/A,true,true,true,true,N/A,true,N/A,true,true,true,true,true,true,true,true,false,true,true,true,true,false,true,false,false,false,true,false,true,N/A,14899,3026,1785,3291,N/A,2279,N/A,4091,5635,8371,3165,5428,3163,5330,3199,9530,2963,2218,12064,4581,17363,8942,11011,6741,6694,15857,9228,8444,N/A,60.55,60.45,60.45,38.82,N/A,84.91,N/A,54.64,12.55,34.64,59.55,37,36.18,59,59,60.45,13.18,61.64,85.82,85.27,37,14.73,60.45,14.82,13.27,39.09,41.45,38.82,N/A,85.14,85.3,85.14,70.76,N/A,72.54,N/A,86.11,70.6,81.58,67.53,68.98,75.44,75.93,69.79,66.56,64.94,65.91,78.03,79.81,74.96,67.85,78.51,71.41,61.39,64.3,79.16,77.87,N/A
3,JOORZ030WTIPZIJLVIHPQ,2025-10-16T12:38:18+00:00,,,55acf681fdf99b3d5b2ab68c,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29",1,1,1,2,N/A,1,N/A,1,1,2,3,2,3,1,3,1,1,3,4,2,1,3,4,1,3,2,1,2,N/A,true,true,true,true,N/A,false,N/A,true,true,true,true,true,false,false,true,true,true,true,true,false,true,false,true,false,false,true,false,true,N/A,8339,9361,2238,3622,N/A,2470,N/A,3369,8058,10432,7290,7415,8879,10161,5808,6960,4167,3824,5916,4395,6361,6126,6238,5994,4293,7057,7250,10766,N/A,44.09,40.91,40.45,33.09,N/A,13.64,N/A,39.82,10.36,32.09,59.82,38,56.18,14.36,57.18,9.09,9.55,58,80.91,35.91,8.36,60.73,90.45,14.91,58.73,32.55,11.64,38.45,N/A,82.55,82.07,86.43,72.86,N/A,61.87,N/A,81.91,72.86,80.29,79.97,80.78,81.91,75.12,77.22,76.58,79.48,80.94,74.15,81.1,76.9,73.02,69.63,67.37,78.68,73.67,69.79,79.32,N/A
4,1KT3J9DI7YIIMB1XY7A49,2025-10-16T12:38:46+00:00,,,5c65739723f6300001380c2c,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29",1,1,1,4,N/A,1,N/A,1,1,2,1,2,2,3,3,3,1,3,4,2,2,1,4,1,3,2,4,2,N/A,true,true,true,false,N/A,false,N/A,true,true,true,false,true,true,true,true,false,true,true,true,false,false,true,true,false,false,true,true,true,N/A,60402,3887,1124,6350,N/A,4254,N/A,2878,6233,5074,5172,4370,6220,5356,1958,3171,2719,3123,2750,3087,3694,8908,5898,3448,3514,5149,4537,3754,N/A,46.73,46.36,46.64,84.36,N/A,13.27,N/A,43.64,13.82,39.36,11.36,37.55,33.09,57,60.27,56.64,15.91,60.91,82.55,33.09,33.09,17.36,83.91,11.45,61,36.45,85.91,33.45,N/A,78.84,79.97,78.35,71.89,N/A,61.55,N/A,81.74,73.83,73.67,70.44,71.41,70.76,71.57,70.92,67.37,69.14,67.37,66.4,67.37,67.37,71.89,69.95,71.57,71.57,70.92,71.24,72.37,N/A
5,ODCUSAF89KXN9WCQ9YH2M,2025-10-16T13:10:51+00:00,,,6772be1363ec1102cc8bc48d,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29",1,1,1,4,N/A,3,N/A,1,3,1,3,2,4,3,3,3,1,3,4,2,2,1,3,2,3,2,2,1,N/A,true,true,true,false,N/A,false,N/A,true,false,false,true,true,false,true,true,false,true,true,true,false,false,true,false,false,false,true,false,false,N/A,71699,56886,2813,5821,N/A,5035,N/A,2123,4301,5939,4501,2011,4085,3843,1707,3559,7617,3986,2232,6014,4995,3162,6876,4814,6540,4773,1639,5308,N/A,46.82,52.18,51.36,83.45,N/A,59.55,N/A,51.45,58.09,16.18,62.36,39.09,89.09,63.82,63.55,61.36,9.91,56.64,85.82,34.55,36.27,14.55,61.27,34.73,60.55,42,39.18,12.18,N/A,84.17,82.55,85.14,69.31,N/A,70.44,N/A,83.2,79.16,74.8,69.31,70.11,74.31,77.38,75.77,73.02,62.36,64.94,72.05,73.02,77.38,78.03,69.63,76.74,76.74,77.71,77.54,69.79,N/A
6,OFHUDHQK3QA05O4H7AX2VSE,2025-10-16T13:08:24+00:00,,,5eea9a9ea8d6d71ba912a73e,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29",1,1,1,2,N/A,3,N/A,1,1,2,3,2,4,4,3,1,1,3,4,2,2,3,3,1,2,2,2,1,N/A,true,true,true,true,N/A,false,N/A,true,true,true,true,true,false,false,true,true,true,true,true,false,false,false,false,false,false,true,false,false,N/A,5479,5367,1324,3617,N/A,4891,N/A,1697,2532,1471,4958,1939,2428,3230,3180,1421,2357,1796,1866,2954,3899,3645,3404,4311,2264,1496,5070,3205,N/A,46.36,47.36,47.36,37.64,N/A,62.82,N/A,48.18,15.09,36.64,57.36,38,85.27,84.55,60,9.36,12.18,59.91,84.55,38.91,32.82,57.27,57.27,11.64,38.82,37,37.45,16.91,N/A,79.32,80.61,80.61,72.7,N/A,67.21,N/A,79.16,67.69,71.41,73.34,70.44,73.02,73.67,71.08,66.88,69.47,69.63,68.82,76.25,68.17,64.3,64.3,78.68,71.89,75.28,75.61,78.19,N/A
7,QTVIZMJ8JV9012ZFWTPWA,2025-10-16T13:10:10+00:00,,,5a3bdd2c8d005a0001829f3e,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29",1,1,1,2,N/A,1,N/A,1,2,2,3,2,4,4,3,3,1,3,4,3,3,3,1,4,1,2,2,2,N/A,true,true,true,true,N/A,false,N/A,true,false,true,true,true,false,false,true,false,true,true,true,false,false,false,false,false,false,true,false,true,N/A,7739,6390,2694,8614,N/A,12015,N/A,3102,7111,5574,5103,6783,7998,9062,6135,6693,4552,7797,4839,4343,5758,6815,8142,4511,10302,6623,5455,7599,N/A,46.73,43.09,43,34,N/A,12.91,N/A,40.91,36.91,36.09,60.45,35.18,85.09,85.36,60.82,60.82,14.09,59.36,86.91,61.09,64,60.55,13.27,84,15.91,37,37,38.82,N/A,78.19,77.38,81.91,70.27,N/A,76.9,N/A,80.45,69.79,75.28,67.53,76.09,75.44,75.93,71.08,71.08,67.69,70.6,74.15,73.18,76.09,74.64,75.12,77.54,73.34,71.24,71.08,72.54,N/A
8,36FNM7QL64IB7ENHNOY0N4,2025-10-16T13:11:38+00:00,,,60fcd92780d0ec62027ed113,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29",1,1,1,2,N/A,1,N/A,1,3,1,3,2,2,3,3,3,1,3,4,2,1,1,4,4,1,2,4,1,N/A,true,true,true,true,N/A,false,N/A,true,false,false,true,true,true,true,true,false,true,true,true,false,true,true,true,false,false,true,true,false,N/A,16278,15316,3720,7516,N/A,7662,N/A,5959,8953,15153,6873,5897,7891,9544,12207,7765,13107,10579,6942,14246,9949,8365,11369,19473,7419,4133,14411,8248,N/A,49,49.18,50.45,37,N/A,12.73,N/A,46.64,63,14.55,63.91,40.09,38.18,60.18,62.64,63.91,16.27,64.09,85.18,37.73,10.73,12.64,86.45,86.55,16,38.27,84.55,17.82,N/A,82.23,80.78,81.74,68.98,N/A,73.67,N/A,81.58,70.11,72.05,65.75,75.12,75.61,73.67,74.64,73.83,72.86,70.44,67.69,73.34,63.17,71.41,69.95,73.83,73.51,71.08,64.3,70.27,N/A
9,5I8DFFF7796QHG7YN7Y3W,2025-10-16T13:09:28+00:00,,,558ffe16fdf99b3f7aada34d,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29",1,1,1,2,N/A,3,N/A,1,3,1,3,3,4,4,4,4,1,3,4,3,3,3,3,3,2,2,3,2,N/A,true,true,true,true,N/A,false,N/A,true,false,false,true,false,false,false,false,false,true,true,true,false,false,false,false,true,false,true,false,true,N/A,8470,957,586,5322,N/A,6865,N/A,7368,6506,8832,3505,6539,6957,3762,155,7844,3579,8766,4830,4381,2240,3220,8094,1404,1998,4472,5077,2751,N/A,54.45,51.36,52.82,37.82,N/A,62,N/A,56.45,64.09,16,62.73,61,84,83.09,83.55,85.73,15,60.45,87.09,65.36,59.64,59.73,65.82,63.64,39.82,35.64,61,39.18,N/A,80.61,80.94,85.62,74.64,N/A,73.67,N/A,79.81,73.18,68.5,70.11,75.61,75.28,80.45,80.13,67.21,75.28,80.45,72.37,76.58,69.95,74.47,76.58,76.58,77.06,76.58,76.9,78.19,N/A
10,MLLH8KGUZSBDL6MN1BJN2,,,,677da02dc68ea2b62a30b052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
